gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN4531_c0_g1	21012.3707900651	-0.447849877646892	0.126006659073162	4.63712094487001e-05	0.000332949357447182
TRINITY_DN4532_c0_g1	1655.88613098886	-0.11883897599163	0.0731193342410366	0.0755799972795936	0.183305789643485
TRINITY_DN4533_c0_g1	2809.5048043021	-0.0350743500316261	0.0524661927085725	0.485139274516461	0.672353540265288
TRINITY_DN4534_c0_g1	36.9239605728656	0.0486507124330082	0.176542680014218	0.50129002397855	0.68515225127949
TRINITY_DN4535_c0_g1	2104.90729641732	-0.14939171010211	0.0664035041190616	0.0153182752413043	0.0510505074980334
TRINITY_DN4536_c0_g1	22.1348650397558	0.120026580834809	0.224750563127181	0.0968746142070358	0.220821274216277
TRINITY_DN4537_c0_g1	8.52900552343226	0.0155462800190351	0.181403589703182	0.712340677369695	NA
TRINITY_DN4538_c0_g1	8546.54909867026	0.559743205915972	0.0478168998545771	1.25941999667682e-32	1.07412098499185e-30
TRINITY_DN4539_c0_g1	486.249053857421	-0.0330710931697713	0.0975046977275525	0.689217429292702	0.828107870452385
TRINITY_DN454_c0_g1	5162.72500589485	0.200176504144259	0.0543821441357129	0.000114038778699147	0.000739254687033199
TRINITY_DN4540_c0_g1	14564.3827306287	0.182444805239838	0.0472003542521474	5.04365188495797e-05	0.000358205196869426
TRINITY_DN4541_c0_g1	2592.02402541474	0.0160802385282166	0.0549094310010032	0.760196634279649	0.874370590343508
TRINITY_DN4542_c0_g1	188.557478368003	-0.255249705482621	0.176279822751624	0.0342806092895371	0.0976828053200989
TRINITY_DN4543_c0_g1	33373.6817257452	-0.01367043696955	0.0391308249505583	0.712264059479294	0.84401182739796
TRINITY_DN4544_c2_g1	764.12080926749	-0.00499270740733939	0.183122682425085	0.862087408609459	0.931822052418071
TRINITY_DN4545_c0_g1	3913.51605980025	-0.0500457905206997	0.0520440881725666	0.315757716865338	0.514597276708057
TRINITY_DN4546_c0_g1	62.7315898600802	0.166265131240905	0.241137121965174	0.0926413412355375	0.213155272414397
TRINITY_DN4547_c0_g1	201.378515450947	-0.0581444772600633	0.124333398941673	0.534117458392008	0.713417408676129
TRINITY_DN455_c0_g1	1212.79162817351	0.0107888514540073	0.0691937058945163	0.867273681586189	0.934480522612629
TRINITY_DN4550_c0_g1	13734.0329498035	-0.324828239277355	0.0462938664826463	5.63196015040508e-13	1.3246586368147e-11
TRINITY_DN4551_c0_g1	6916.6283186636	0.455695603460636	0.0452657404743721	1.07937697388028e-24	5.98109003379537e-23
TRINITY_DN4552_c0_g1	6603.33740173838	-0.107145801888143	0.04950511012335	0.0240303314302404	0.0731731034281491
TRINITY_DN4553_c0_g1	821.608699597512	-0.144002916279501	0.0890861438459092	0.0657652340619817	0.164212173034602
TRINITY_DN4554_c0_g1	2747.63579579583	-0.134097894426281	0.0523749466634289	0.00739702869421066	0.0279540657485655
TRINITY_DN4555_c0_g1	347.023071163907	-0.140825894146623	0.124884723764823	0.145415942964991	0.298563861963709
TRINITY_DN4556_c0_g1	5631.35312151597	-0.113252149609913	0.0479944257480184	0.0142662958031532	0.048133412190343
TRINITY_DN4557_c0_g1	517.766026219266	0.00777919985516079	0.0993656668115948	0.927128514833863	0.965931216644416
TRINITY_DN4558_c0_g1	1035.50811040236	-0.195271788439797	0.0896113270829784	0.0136449674184373	0.0463881595979318
TRINITY_DN4559_c0_g1	1166.36909925236	-0.118598318039963	0.0810700618144121	0.103582036003017	0.231683605271971
TRINITY_DN456_c0_g1	1801.26715122078	-0.0188093570583763	0.0618614179044563	0.746665605901151	0.866369880170248
TRINITY_DN456_c1_g1	1106.97724922752	-0.244476738196376	0.0746521821570106	0.000382505114952744	0.0021811687020096
TRINITY_DN4560_c0_g1	702.722761758097	0.00397158038709304	0.0845034157437718	0.958658286557057	0.979991470591248
TRINITY_DN4561_c0_g1	1633.97981076669	-0.0175390060907502	0.0665141513095346	0.785278102096248	0.887690267564281
TRINITY_DN4562_c0_g1	1247.61927383516	0.0975445506104196	0.0728501631518377	0.14467820512048	0.297360401471432
TRINITY_DN4563_c0_g1	1917.53935716394	0.0450176246447776	0.0816703900356114	0.558372880509308	0.732449005220716
TRINITY_DN4564_c0_g1	17110.369313316	0.370349272841085	0.0527842672282367	4.21321722858794e-13	1.00299113053375e-11
TRINITY_DN4565_c0_g1	36.0323036795406	-0.058990909755583	0.180336305649806	0.409444613925392	0.603703062745076
TRINITY_DN4566_c0_g1	62.7768655161528	-0.0326575763792616	0.158186153359076	0.701242668842571	0.837223140110522
TRINITY_DN4567_c0_g1	737.548194242784	-0.0641546734134206	0.0893320193981434	0.413921118744687	0.607834929504628
TRINITY_DN4568_c0_g1	2537.27829988648	-0.0731341375219679	0.0638905323375692	0.22165461305921	0.403187767968238
TRINITY_DN4569_c0_g1	5147.43982651358	-0.172643007842888	0.0508860047341939	0.000401780819771824	0.00227343600083133
TRINITY_DN457_c0_g1	1703.08333697068	0.0795247295373499	0.0618303988858571	0.172014711643133	0.337559081991966
TRINITY_DN4570_c0_g1	1906.97266996961	-0.216693194923873	0.0636745391725392	0.000297689013008072	0.00174312468034816
TRINITY_DN4571_c0_g1	665.11975643578	0.0583216402348338	0.0907911701212878	0.462542158805468	0.652374675519706
TRINITY_DN4572_c0_g1	165.870252685685	0.214165108001342	0.171576152154292	0.0643442356755152	0.161197513028213
TRINITY_DN4573_c0_g1	2595.2628901763	-0.165757742151833	0.0564242712048523	0.0019644930625836	0.00902893531294281
TRINITY_DN4574_c0_g1	1678.26556581477	-0.0929473894411223	0.0615884627308035	0.108232751501407	0.239356668934791
TRINITY_DN4575_c0_g2	22.1466365324774	-0.0109210727544435	0.172960328378297	0.862510918994583	0.931971696981257
TRINITY_DN4576_c0_g1	2026.76862158116	0.0752208967437361	0.0733530909280078	0.263171001657342	0.454433307087184
TRINITY_DN4578_c0_g1	502.179757214922	0.0976701437642455	0.0949007156296115	0.230905899555915	0.415241118966707
TRINITY_DN4579_c0_g1	6757.74412614032	0.134867960089507	0.0478279137444189	0.00343537377896911	0.0146051781639051
TRINITY_DN458_c0_g1	1059.03501964623	0.101013926689904	0.0734129985689267	0.133391542887454	0.280511203396259
TRINITY_DN4581_c0_g1	5147.49192991398	0.192076241621093	0.0443664415874019	8.001580837306e-06	6.59491637414263e-05
TRINITY_DN4582_c0_g1	4.81849945841553	-0.0107369019037819	0.183274611940621	0.738784716967097	NA
TRINITY_DN4583_c0_g1	794.474779489388	0.0819009201658088	0.0835947096168791	0.272632885014059	0.465202389738673
TRINITY_DN4585_c0_g1	1646.79214948364	-0.0162576559283723	0.0609759700610449	0.776899802858207	0.882946740190216
TRINITY_DN4587_c0_g1	14.1755061484276	-0.00525422791599894	0.180267800984062	0.902089757126062	0.952275023998757
