gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_5973	NA	0.206438895220808	0.12410006760302074	0.589852169664985	0.05525078891415004	0.520224903280562	0.06741151615486449	FALSE	FALSE	FALSE	0	10.602588352916161	10.65917460964186	10.707251712933843	0.10466336001768184	0.12410006760302074	0.206438895220808	0.6852084737678998	1.0380719689916231
gene_5974	Reaction-zone specific	0.00134265889077376	-0.4618842815868573	1.10978054429323e-5	-0.6359617326103287	0.309490309763512	0.15814948461008285	TRUE	TRUE	FALSE	2	11.56280361804773	11.726403696034954	11.130611137683045	0.5957925583519081	0.6359617326103287	1.10978054429323e-5	4.9547628931280485	6.822478916700614
gene_5975	NA	0.0932085140481859	-0.21009848109205356	0.297226318086702	-0.13345253431237372	0.59171957173187	-0.07430865937131799	FALSE	FALSE	FALSE	0	10.262095536019892	10.195906783979584	10.087342774056664	0.1747527619632283	0.21009848109205356	0.0932085140481859	1.0305444155938353	1.6254941397411706
gene_5976	NA	0.705984169675876	0.09188515952197523	0.784807932464373	0.06499499606614056	0.925545928946113	0.0235737173881317	FALSE	FALSE	FALSE	0	8.455175040032557	8.49483513497319	8.530775689439976	0.07560064940741817	0.09188515952197523	0.705984169675876	0.15120503704946073	0.4105760055008294
gene_5977	Plate-wide response	0.839495273344903	-0.02917959151409388	0.00970507624559671	-0.3137335660003966	0.0212850515727928	0.28285725521879124	FALSE	TRUE	TRUE	2	10.796323731582191	11.058727377319649	10.776724603804912	0.282002773514737	0.3137335660003966	0.00970507624559671	2.0130010483320997	2.92247095384763
gene_5978	Plate-wide response	0.603378568208317	0.0841510232127913	0.0192338680520335	-0.34219675089795326	0.00335480005544259	0.422269843648808	FALSE	TRUE	TRUE	2	12.321160902641745	12.761509553132965	12.42144444505547	0.4403486504912202	0.422269843648808	0.00335480005544259	2.4743333584772773	3.7592216962661134
gene_5979	Non-contact specific	0.0134213859283777	0.24337764732582895	0.789120874926181	0.02994166434232186	0.0279265199330444	0.21174031148996195	TRUE	FALSE	TRUE	2	9.799350142605634	9.963109276686293	9.988065806630594	0.18871566402495965	0.24337764732582895	0.0134213859283777	1.8722026354361236	2.5476735941127413
gene_5980	Multi-region differential response	3.03688622293003e-63	-1.4405937166972222	5.5307169090357384e-157	-2.2705344694463716	3.5762434689699098e-22	0.8143719075797243	TRUE	TRUE	TRUE	3	12.865211574753454	13.668007055896034	11.496983498794616	2.1710235571014174	2.2705344694463716	5.5307169090357384e-157	156.25721857042075	162.96931106641492
gene_5981	Multi-region differential response	1.2507520236574198e-11	-1.238281508438221	0.00856602034095592	0.48653743156891927	5.78838583299524e-24	-1.7756405736843812	TRUE	TRUE	TRUE	3	9.310619002374237	8.327132665438546	8.568858066650424	0.983486336935691	1.7756405736843812	5.78838583299524e-24	23.237442528078915	27.77221001238337
gene_5982	Multi-region differential response	0.00801699671016736	-0.2580528813266315	1.64731534144208e-20	0.8651114484245797	1.46314113561955e-34	-1.1288177773961277	TRUE	TRUE	TRUE	3	11.334540257117453	10.346488773935357	11.09695490504559	0.9880514831820957	1.1288177773961277	1.46314113561955e-34	33.83471377950393	37.080400817478285
gene_5983	NA	0.860030498598725	0.04467739823788424	0.593350844950474	-0.11518349072400738	0.470099298984317	0.13682700976260037	FALSE	FALSE	FALSE	0	7.106612815645711	7.243939756437639	7.181833736969513	0.13732694079192775	0.13682700976260037	0.470099298984317	0.32781039643452947	0.738791356751658
gene_5984	NA	0.111308530742648	0.3267032219788361	0.374598733450083	-0.175284804049071	0.00840466293872646	0.5057614018432641	FALSE	FALSE	TRUE	1	8.389367847022225	8.660490874169703	8.555644433544092	0.27112302714747827	0.5057614018432641	0.00840466293872646	2.0754796988558506	3.358125529689857
gene_5985	NA	0.187544544356137	0.28710983427164904	0.639409253957416	0.10605713325213292	0.454143861223182	0.16650350186230267	FALSE	FALSE	FALSE	0	9.128298736987796	9.255373821195285	9.342003722871675	0.21370498588387932	0.28710983427164904	0.187544544356137	0.7268955648936195	1.514820219320797
gene_5986	NA	0.963665254864206	0.00667668016508728	0.135771884065168	0.15827229784801672	0.161861155376693	-0.15146722420348133	FALSE	FALSE	FALSE	0	10.870118314669769	10.741126015131348	10.882811060703254	0.1416850455719061	0.15827229784801672	0.135771884065168	0.8671901553836618	1.3254197966516013
gene_5987	Multi-region differential response	1.13893269694188e-73	-1.8008920498467236	2.00997827416375e-81	1.978352771407753	0	-3.7930518882041144	TRUE	TRUE	TRUE	3	12.352804417384819	9.19590269569436	10.70307787388161	3.15690172169046	3.7930518882041144	0	300	310.7430054980987
