gene_id	protein_id
gene_1981	1980541
gene_1982	1980542
gene_1983	1980543
gene_1984	1980544
gene_1988	1980548
gene_1989	1980549
gene_1992	1980552
gene_1993	1980553
gene_1995	1980555
gene_1998	1980558
gene_2000	1980560
gene_2004	1980564
gene_2005	1980565
gene_2006	1980566
gene_2007	1980567
gene_2010	1980570
gene_2017	1980577
gene_2018	1980578
gene_2022	1980582
gene_2025	1980585
gene_2027	1980587
gene_2028	1980588
gene_2030	1980590
gene_2035	1980595
gene_2037	1980597
gene_2038	1980598
gene_2039	1980599
gene_2044	1980604
gene_2047	1980607
gene_2050	1980610
gene_2051	1980611
gene_2052	1980612
gene_2054	1980614
gene_2057	1980617
gene_2058	1980618
gene_2062	1980622
gene_2063	1980623
gene_2066	1980626
gene_2067	1980627
gene_2069	1980629
gene_2071	1980631
gene_2074	1980634
gene_2075	1980635
gene_2093	1980653
gene_2096	1980656
gene_2097	1980657
gene_2101	1980661
gene_2104	1980664
gene_2105	1980665
gene_2110	1980670
gene_2111	1980671
gene_2115	1980675
gene_2116	1980676
gene_2117	1980677
gene_2119	1980679
gene_2120	1980680
gene_2121	1980681
gene_2123	1980683
gene_2126	1980686
gene_2129	1980689
gene_2131	1980691
gene_2138	1980698
gene_2141	1980701
gene_2142	1980702
gene_2147	1980707
gene_2148	1980708
gene_2149	1980709
gene_2150	1980710
gene_2151	1980711
gene_2153	1980713
gene_2160	1980720
gene_2161	1980721
gene_2162	1980722
gene_2167	1980727
gene_2168	1980728
gene_2169	1980729
gene_2171	1980731
gene_2172	1980732
gene_2173	1980733
gene_2177	1980737
gene_2178	1980738
gene_2183	1980743
gene_2185	1980745
gene_2187	1980747
gene_2193	1980753
gene_2194	1980754
gene_2195	1980755
gene_2199	1980759
gene_2201	1980761
gene_2202	1980762
gene_2203	1980763
gene_2204	1980764
gene_2205	1980765
gene_2208	1980768
gene_2209	1980769
gene_2210	1980770
gene_2212	1980772
gene_2213	1980773
gene_2214	1980774
gene_2216	1980776
gene_2217	1980777
gene_2218	1980778
gene_2219	1980779
gene_2220	1980780
gene_2224	1980784
gene_2226	1980786
gene_2230	1980790
gene_2231	1980791
gene_2235	1980795
gene_2236	1980796
gene_2239	1980799
gene_2241	1980801
gene_2242	1980802
gene_2243	1980803
gene_2244	1980804
gene_2247	1980807
gene_2250	1980810
gene_2251	1980811
gene_2252	1980812
gene_2254	1980814
gene_2255	1980815
gene_2260	1980820
gene_2261	1980821
gene_2262	1980822
gene_2265	1980825
gene_2266	1980826
gene_2267	1980827
gene_2268	1980828
gene_2269	1980829
gene_2270	1980830
gene_2275	1980835
gene_2277	1980837
gene_2278	1980838
gene_2279	1980839
gene_2280	1980840
gene_2282	1980842
gene_2283	1980843
gene_2284	1980844
gene_2288	1980848
gene_2297	1980857
gene_2301	1980861
gene_2311	1980871
gene_2315	1980875
gene_2319	1980879
gene_2321	1980881
gene_2322	1980882
gene_2324	1980884
gene_2328	1980888
gene_2329	1980889
gene_2331	1980891
gene_2332	1980892
gene_2334	1980894
gene_2340	1980900
gene_2344	1980904
gene_2345	1980905
gene_2348	1980908
gene_2350	1980910
gene_2353	1980913
gene_2358	1980918
gene_2360	1980920
gene_2363	1980923
gene_2369	1980929
gene_2371	1980931
gene_2375	1980935
gene_2376	1980936
gene_2377	1980937
gene_2378	1980938
gene_2381	1980941
gene_2384	1980944
gene_2386	1980946
gene_2388	1980948
gene_2390	1980950
gene_2391	1980951
gene_2394	1980954
gene_2395	1980955
gene_2396	1980956
gene_2403	1980963
gene_2404	1980964
gene_2407	1980967
gene_2410	1980970
gene_2413	1980973
gene_2416	1980976
gene_2419	1980979
gene_2420	1980980
gene_2421	1980981
gene_2422	1980982
gene_2423	1980983
gene_2430	1980990
gene_2431	1980991
gene_2433	1980993
gene_2439	1980999
gene_2441	1981001
gene_2445	1981005
gene_2446	1981006
gene_2447	1981007
gene_2449	1981009
gene_2454	1981014
gene_2455	1981015
gene_2457	1981017
gene_2459	1981019
gene_2460	1981020
gene_2463	1981023
gene_2465	1981025
gene_2466	1981026
gene_2467	1981027
gene_2468	1981028
gene_2469	1981029
gene_2472	1981032
gene_2473	1981033
gene_2475	1981035
gene_2477	1981037
gene_2481	1981041
gene_2482	1981042
gene_2484	1981044
gene_2486	1981046
gene_2488	1981048
gene_2489	1981049
gene_2490	1981050
gene_2492	1981052
gene_2495	1981055
gene_2496	1981056
gene_2502	1981062
gene_2505	1981065
gene_2506	1981066
gene_2507	1981067
gene_2510	1981070
gene_2512	1981072
gene_2513	1981073
gene_2514	1981074
gene_2522	1981082
gene_2524	1981084
gene_2529	1981089
gene_2534	1981094
gene_2536	1981096
gene_2537	1981097
gene_2538	1981098
gene_2539	1981099
gene_2542	1981102
gene_2553	1981113
gene_2556	1981116
gene_2561	1981121
gene_2562	1981122
gene_2564	1981124
gene_2567	1981127
gene_2571	1981131
gene_2572	1981132
gene_2573	1981133
gene_2574	1981134
gene_2576	1981136
gene_2577	1981137
gene_2581	1981141
gene_2583	1981143
gene_2585	1981145
gene_2586	1981146
gene_2587	1981147
gene_2589	1981149
gene_2593	1981153
gene_2595	1981155
gene_2598	1981158
gene_2599	1981159
gene_2602	1981162
gene_2604	1981164
gene_2607	1981167
gene_2610	1981170
gene_2614	1981174
gene_2617	1981177
gene_2619	1981179
gene_2620	1981180
gene_2625	1981185
gene_2626	1981186
gene_2631	1981191
gene_2634	1981194
gene_2638	1981198
gene_2640	1981200
gene_2641	1981201
gene_2642	1981202
gene_2645	1981205
gene_2646	1981206
gene_2649	1981209
gene_2650	1981210
gene_2652	1981212
gene_2661	1981221
gene_2665	1981225
gene_2666	1981226
gene_2668	1981228
gene_2669	1981229
gene_2671	1981231
gene_2672	1981232
gene_2674	1981234
gene_2677	1981237
gene_2678	1981238
gene_2680	1981240
gene_2682	1981242
gene_2685	1981245
gene_2686	1981246
gene_2687	1981247
gene_2691	1981251
gene_2695	1981255
gene_2700	1981260
gene_2706	1981266
gene_2707	1981267
gene_2708	1981268
gene_2715	1981275
gene_2716	1981276
gene_2718	1981278
gene_2719	1981279
gene_2723	1981283
gene_2724	1981284
gene_2727	1981287
gene_2735	1981295
gene_2736	1981296
gene_2739	1981299
gene_2741	1981301
gene_2744	1981304
gene_2745	1981305
gene_2748	1981308
gene_2749	1981309
gene_2750	1981310
gene_2757	1981317
gene_2766	1981326
gene_2767	1981327
gene_2770	1981330
gene_2771	1981331
gene_2773	1981333
gene_2774	1981334
gene_2775	1981335
gene_2776	1981336
gene_2778	1981338
gene_2781	1981341
gene_2783	1981343
gene_2784	1981344
gene_2786	1981346
gene_2787	1981347
gene_2788	1981348
gene_2793	1981353
gene_2794	1981354
gene_2796	1981356
gene_2799	1981359
gene_2800	1981360
gene_2801	1981361
gene_2802	1981362
gene_2803	1981363
gene_2808	1981368
gene_2810	1981370
gene_2812	1981372
gene_2813	1981373
gene_2817	1981377
gene_2819	1981379
gene_2820	1981380
gene_2821	1981381
gene_2825	1981385
gene_2826	1981386
gene_2828	1981388
gene_2830	1981390
gene_2841	1981401
gene_2844	1981404
gene_2845	1981405
gene_2847	1981407
gene_2850	1981410
gene_2851	1981411
gene_2852	1981412
gene_2853	1981413
gene_2855	1981415
gene_2859	1981419
gene_2860	1981420
gene_2865	1981425
gene_2867	1981427
gene_2868	1981428
gene_2871	1981431
gene_2873	1981433
gene_2874	1981434
gene_2876	1981436
gene_2877	1981437
gene_2878	1981438
gene_2879	1981439
gene_2880	1981440
gene_2881	1981441
gene_2883	1981443
gene_2884	1981444
gene_2890	1981450
gene_2892	1981452
gene_2896	1981456
gene_2899	1981459
gene_2900	1981460
gene_2901	1981461
gene_2907	1981467
gene_2908	1981468
gene_2909	1981469
gene_2910	1981470
gene_2912	1981472
gene_2915	1981475
gene_2916	1981476
gene_2919	1981479
gene_2920	1981480
gene_2921	1981481
gene_2922	1981482
gene_2923	1981483
gene_2925	1981485
gene_2935	1981495
gene_2938	1981498
gene_2940	1981500
gene_2944	1981504
gene_2949	1981509
gene_2952	1981512
gene_2955	1981515
gene_2959	1981519
gene_2961	1981521
gene_2962	1981522
gene_2966	1981526
gene_2974	1981534
gene_2976	1981536
gene_2978	1981538
gene_2980	1981540
gene_2981	1981541
gene_2982	1981542
gene_2983	1981543
gene_2987	1981547
gene_2988	1981548
gene_2989	1981549
gene_2990	1981550
gene_2991	1981551
gene_2992	1981552
gene_2993	1981553
gene_3000	1981560
gene_3006	1981566
gene_3008	1981568
gene_3012	1981572
gene_3013	1981573
gene_3015	1981575
gene_3017	1981577
gene_3018	1981578
gene_3021	1981581
gene_3023	1981583
gene_3027	1981587
gene_3031	1981591
gene_3034	1981594
gene_3035	1981595
gene_3043	1981603
gene_3044	1981604
gene_3045	1981605
gene_3046	1981606
gene_3047	1981607
gene_3049	1981609
gene_3050	1981610
gene_3051	1981611
gene_3054	1981614
gene_3055	1981615
gene_3056	1981616
gene_3057	1981617
gene_3058	1981618
gene_3060	1981620
gene_3061	1981621
gene_3063	1981623
gene_3069	1981629
gene_3070	1981630
gene_3071	1981631
gene_3078	1981638
gene_3080	1981640
gene_3082	1981642
gene_3085	1981645
gene_3088	1981648
gene_3090	1981650
gene_3091	1981651
gene_3092	1981652
gene_3093	1981653
gene_3095	1981655
gene_3099	1981659
gene_3101	1981661
gene_3102	1981662
gene_3103	1981663
gene_3104	1981664
gene_3105	1981665
gene_3106	1981666
gene_3108	1981668
gene_3110	1981670
gene_3113	1981673
gene_3114	1981674
gene_3120	1981680
gene_3121	1981681
gene_3125	1981685
gene_3130	1981690
gene_3132	1981692
gene_3134	1981694
gene_3136	1981696
gene_3137	1981697
gene_3138	1981698
gene_3140	1981700
gene_3141	1981701
gene_3142	1981702
gene_3143	1981703
gene_3144	1981704
gene_3146	1981706
gene_3148	1981708
gene_3149	1981709
gene_3153	1981713
gene_3157	1981717
gene_3160	1981720
gene_3161	1981721
gene_3164	1981724
gene_3165	1981725
gene_3166	1981726
gene_3168	1981728
gene_3171	1981731
gene_3174	1981734
gene_3178	1981738
gene_3179	1981739
gene_3180	1981740
gene_3182	1981742
gene_3184	1981744
gene_3186	1981746
gene_3188	1981748
gene_3189	1981749
gene_3191	1981751
gene_3192	1981752
gene_3194	1981754
