ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Blood group glycolipid biosynthesis - neolact series	Blood group glycolipid biosynthesis - neolact series	4/267	19/1145	0.210526315789474	0.902818844864971	-0.235456696847583	0.680799419637194	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Chondroitin / heparan sulfate biosynthesis	Chondroitin / heparan sulfate biosynthesis	4/267	19/1145	0.210526315789474	0.902818844864971	-0.235456696847583	0.680799419637194	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Keratan sulfate biosynthesis	Keratan sulfate biosynthesis	4/267	19/1145	0.210526315789474	0.902818844864971	-0.235456696847583	0.680799419637194	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	7/267	33/1145	0.212121212121212	0.909658381568494	-0.290277803236114	0.68114293934801	0.999080029200713	0.999080029200713	gene_2046/gene_4034/gene_5191/gene_5230/gene_6780/gene_7839/gene_8138	7	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Nucleotide sugars metabolism	Nucleotide sugars metabolism	4/267	20/1145	0.2	0.857677902621723	-0.353942290309052	0.722022332588565	0.999080029200713	0.999080029200713	gene_662/gene_972/gene_1589/gene_4108	4	onu_vs_self	significant	down	FALSE	Nucleotide Metabolism	METABOLIC
O-Glycans biosynthesis	O-Glycans biosynthesis	4/267	20/1145	0.2	0.857677902621723	-0.353942290309052	0.722022332588565	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	11/267	53/1145	0.207547169811321	0.890043106494241	-0.451825213271605	0.725982380245299	0.999080029200713	0.999080029200713	gene_662/gene_972/gene_2100/gene_2603/gene_3858/gene_4108/gene_4912/gene_4913/gene_5738/gene_6840/gene_8309	11	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Propanoate metabolism	Propanoate metabolism	5/267	25/1145	0.2	0.857677902621723	-0.396601829466299	0.728702203058574	0.999080029200713	0.999080029200713	gene_984/gene_1901/gene_4025/gene_4567/gene_7612	5	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Histidine metabolism	Histidine metabolism	8/267	40/1145	0.2	0.857677902621723	-0.505059537689893	0.751131709180062	0.999080029200713	0.999080029200713	gene_1107/gene_2164/gene_4253/gene_4567/gene_5762/gene_5766/gene_8135/gene_8175	8	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Tyrosine metabolism	Tyrosine metabolism	12/267	59/1145	0.203389830508475	0.872214816225481	-0.555536988251554	0.7582725306196	0.999080029200713	0.999080029200713	gene_1107/gene_1225/gene_1883/gene_2164/gene_2459/gene_3938/gene_4253/gene_4258/gene_5762/gene_5766/gene_7217/gene_8175	12	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
