family	class	substrates	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted	total_secreted_up	total_secreted_down
GH115	GH	Xylan	0	0	0	0	0	0				1	0	1	1	0	1	-1.713771296839901	-1.713771296839901	1.713771296839901	1	1	0	1
GT24	GT	Unassigned	0	0	0	0	0	0				1	1	0	1	1	0	0.4453910523921812	0.4453910523921812	0.4453910523921812	1	1	1	0
PL1_4	PL	Unassigned	1	0	1	1	0	1	-0.368904922963576	-0.368904922963576	0.368904922963576	0	0	0	0	0	0				1	1	0	1
PL4_3	PL	Unassigned	1	1	0	1	1	0	0.132389895322281	0.132389895322281	0.132389895322281	0	0	0	0	0	0				1	1	1	0
GT1	GT	Unassigned	1	1	0	0	0	0	0.147014905197447	0.147014905197447	0.147014905197447	5	4	1	0	0	0	0.5943949304100214	0.6146612673241302	1.5534565810418348	6	0	0	0
GT8	GT	Unassigned	4	1	3	0	0	0	-0.1554217453956295	-0.17262233935612	0.446876474461801	2	2	0	0	0	0	1.0824500934444408	1.0824500934444408	1.478885216728786	6	0	0	0
GT32	GT	Unassigned	2	2	0	0	0	0	0.3584713083700935	0.3584713083700935	0.542550618377168	3	3	0	0	0	0	0.5116903206070144	0.4772600701576256	0.7599784605064664	5	0	0	0
GH13_40	GH	Alpha-glucan | Other | Unassigned	3	2	1	0	0	0	0.28273547559873197	0.462075376142192	0.505319222630692	1	1	0	0	0	0	0.5580144886637605	0.5580144886637605	0.5580144886637605	4	0	0	0
GT4	GT	Unassigned	2	0	2	0	0	0	-0.15036832989403148	-0.15036832989403148	0.192456146823253	2	1	1	0	0	0	0.544319043245075	0.544319043245075	2.178432283407163	4	0	0	0
GT20	GT	Unassigned	1	0	1	0	0	0	-0.375986831663743	-0.375986831663743	0.375986831663743	3	3	0	0	0	0	0.3137385689390429	0.30283206014204955	0.42500378056129856	4	0	0	0
GT69	GT	Unassigned	2	1	1	0	0	0	1.585661019501193	1.585661019501193	3.41628085244577	2	1	1	0	0	0	-0.020488245252289095	-0.020488245252289095	0.7952317588036151	4	0	0	0
AA4	AA	Other	0	0	0	0	0	0				3	1	2	0	0	0	-0.2743461626405312	-0.6166761144885458	0.9294072096210579	3	0	0	0
GH2_13	GH	Mannan | Unassigned	2	2	0	0	0	0	0.23796971823830848	0.23796971823830848	0.299493681706062	1	0	1	0	0	0	-0.9243043959746333	-0.9243043959746333	0.9243043959746333	3	0	0	0
GH5_12	GH	Other | Unassigned	2	1	1	0	0	0	0.015934329593611504	0.015934329593611504	0.236313280054992	1	1	0	0	0	0	0.6719309280750001	0.6719309280750001	0.6719309280750001	3	0	0	0
GH12	GH	Cellulose | Unassigned	2	0	2	0	0	0	-0.4206866593494095	-0.4206866593494095	0.524731737091758	1	1	0	0	0	0	0.5387968984648147	0.5387968984648147	0.5387968984648147	3	0	0	0
GH16_4	GH	Beta-glucan | Unassigned	1	0	1	0	0	0	-0.39073037803184	-0.39073037803184	0.39073037803184	2	0	2	0	0	0	-1.3468002345131458	-1.3468002345131458	2.1210915404081025	3	0	0	0
GH154	GH	Arabinogalactan | Unassigned	1	1	0	0	0	0	0.162247694299695	0.162247694299695	0.162247694299695	2	0	2	0	0	0	-1.4391449777163665	-1.4391449777163665	2.2150343181482466	3	0	0	0
GT39	GT	Unassigned	0	0	0	0	0	0				3	3	0	0	0	0	0.43896597954098987	0.2842793460659247	0.7536326029988788	3	0	0	0
GT62	GT	Unassigned	1	0	1	0	0	0	-0.166997120388116	-0.166997120388116	0.166997120388116	2	2	0	0	0	0	0.4599054341091676	0.4599054341091676	0.5089613713224369	3	0	0	0
GT90	GT	Unassigned	1	0	1	0	0	0	-0.126048933415096	-0.126048933415096	0.126048933415096	2	1	1	0	0	0	-0.0652397607552698	-0.0652397607552698	0.3081210095568217	3	0	0	0
AA3_3	AA	Other | Unassigned	1	1	0	0	0	0	1.11583991016828	1.11583991016828	1.11583991016828	1	0	1	0	0	0	-2.2705344694463716	-2.2705344694463716	2.2705344694463716	2	0	0	0
AA6	AA	Other | Unassigned	1	0	1	0	0	0	-0.498101561632695	-0.498101561632695	0.498101561632695	1	1	0	0	0	0	0.6342504528704711	0.6342504528704711	0.6342504528704711	2	0	0	0
CBM21	CBM	Alpha-glucan | Unassigned	1	1	0	0	0	0	0.153255365893572	0.153255365893572	0.153255365893572	1	1	0	0	0	0	0.5487435755592109	0.5487435755592109	0.5487435755592109	2	0	0	0
CBM91	CBM	Xylan | Arabinan | Unassigned	1	1	0	0	0	0	0.210429493890446	0.210429493890446	0.210429493890446	1	0	1	0	0	0	-1.6108601032413308	-1.6108601032413308	1.6108601032413308	2	0	0	0
